player_name,team_name,pos_raw,Profile_Label,Certainty
André Ayew Pelé,Ghana,Center Attacking Midfield,Primary Attackers,0.999999998544338
Neymar da Silva Santos Junior,Brazil,Center Attacking Midfield,Primary Attackers,0.9999976284625611
Jean-Charles Castelletto,Cameroon,Right Center Back,Primary Attackers,0.9999830171185101
Andrija Živković,Serbia,Right Wing Back,Primary Attackers,0.9998602979599932
Christian Pulisic,United States,Left Midfield,Primary Attackers,0.9992462756843719
Ramin Rezaeian,Iran,Right Back,Primary Attackers,0.9982484126446131
Antoine Griezmann,France,Center Attacking Midfield,Primary Attackers,0.9982242536206601
Mathew Leckie,Australia,Right Midfield,Primary Attackers,0.9697114812956742
Ali Abdi,Tunisia,Left Wing Back,Primary Attackers,0.9556637761418413
Firas Tariq Nasser Al Albirakan,Saudi Arabia,Right Midfield,Primary Attackers,0.9292280628066221
Lucas Tolentino Coelho de Lima,Brazil,Right Defensive Midfield,Primary Attackers,0.9278336414920197
Bruno Miguel Borges Fernandes,Portugal,Center Attacking Midfield,Primary Attackers,0.8272683338477901
Silvan Widmer,Switzerland,Right Back,Primary Attackers,0.6866421719823435
Nicolás Alejandro Tagliafico,Argentina,Left Back,Primary Attackers,0.6208367078831358
Craig Goodwin,Australia,Left Midfield,Primary Attackers,0.6059120730070293
Otávio Edmilson da Silva Monteiro,Portugal,Left Center Midfield,Primary Attackers,0.5947757515030336
Abdul Rahman Baba,Ghana,Left Back,Primary Attackers,0.5155865634045821
Steven Bergwijn,Netherlands,Left Center Forward,Ball-Playing Defenders,0.9523288831234434
Granit Xhaka,Switzerland,Left Defensive Midfield,Ball-Playing Defenders,0.6875958437832868
