Model,Classes,AIC,BIC,Entropy,n_min,n_max,BLRT_p
M1 (Equal Var),1,5041.032215012526,5085.275919288603,1,1,1,NA
M1 (Equal Var),2,4804.662584050599,4874.715115821056,0.9530114987613801,0.1016949152542373,0.8983050847457628,0.009900990099009901
M1 (Equal Var),3,4765.637586663237,4861.498945928072,0.7032484452923277,0.07796610169491526,0.5525423728813559,0.009900990099009901
M1 (Equal Var),4,4762.311331881893,4883.981518641107,0.6969874094099229,0.0847457627118644,0.48135593220338985,0.10891089108910891
M1 (Equal Var),5,4680.138271214846,4827.617285468439,0.767481929648412,0.04745762711864407,0.5389830508474577,0.009900990099009901
M1 (Equal Var),6,4550.053776496803,4723.3416182447745,0.8245940620452481,0.04745762711864407,0.5491525423728814,0.009900990099009901
M2 (Varying Var),1,5041.032215012526,5085.275919288603,1,1,1,NA
M2 (Varying Var),2,4524.05658055658,4616.230964465076,0.7805340714269469,0.34576271186440677,0.6542372881355932,0.009900990099009901
M2 (Varying Var),3,4282.211459300634,4422.316522841546,0.8079919804055848,0.288135593220339,0.376271186440678,0.009900990099009901
M2 (Varying Var),4,4168.352734538123,4356.388477711453,0.8349317731537572,0.11864406779661017,0.4440677966101695,0.009900990099009901
M2 (Varying Var),5,4130.6501448847175,4366.616567690466,0.8022092449294829,0.14915254237288136,0.26440677966101694,0.009900990099009901
M2 (Varying Var),6,4001.7949686442357,4285.6920710824015,0.8124243353733329,0.08135593220338982,0.2677966101694915,0.009900990099009901
M6 (Varying Var+Cov),2,4378.116333295825,4580.899977894515,0.8631917284319135,0.4406779661016949,0.559322033898305,0.009900990099009901
M6 (Varying Var+Cov),3,4201.939717907545,4507.95867248375,0.8529186979176127,0.2847457627118644,0.423728813559322,0.009900990099009901
M6 (Varying Var+Cov),4,4123.306882478928,4532.5611470326485,0.8554831421925011,0.21016949152542372,0.30847457627118646,0.009900990099009901
M6 (Varying Var+Cov),5,4078.419434196836,4590.909008728071,0.8717162803543654,0.15932203389830507,0.2677966101694915,0.009900990099009901
M6 (Varying Var+Cov),6,4008.3896983557465,4624.114582864497,0.8893636595902165,0.10847457627118644,0.2711864406779661,0.009900990099009901
